shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10157,43.7187394887,-79.7207772072,10001
10157,43.7187394887,-79.7207772072,10002
10157,43.7187394887,-79.7207772072,20001
10157,43.7186896626,-79.7208304071,20002
10157,43.7188301113,-79.7210707377,20003
10157,43.7189414207,-79.721281895,20004
10157,43.719562875,-79.7205747121,20005
10157,43.7197333129,-79.7205983965,20006
10157,43.7195322151,-79.7202488665,20007
10157,43.7192916443,-79.7198319004,20008
10157,43.7178931325,-79.7174037001,20009
10157,43.7191481086,-79.7160262499,20010
10157,43.719217764,-79.7159751049,20011
10157,43.719217764,-79.7159751049,30001
10157,43.7202626478,-79.715212881,30002
10157,43.7208238225,-79.7146732649,30003
10157,43.7210935226,-79.7143161622,30004
10157,43.7210935226,-79.7143161622,40001
10157,43.7216071777,-79.7136347766,40002
10157,43.7218914741,-79.7140147951,40003
10157,43.7218914741,-79.7140147951,50001
10157,43.7225697582,-79.7149214775,50002
10157,43.7231728407,-79.715706877,50003
10157,43.7237733011,-79.7164997974,50004
10157,43.7240018417,-79.7168065413,50005
10157,43.7240018417,-79.7168065413,60001
10157,43.7244772304,-79.7174469593,60002
10157,43.7250864052,-79.7167709714,60003
10157,43.7250864052,-79.7167709714,70001
10157,43.7257071385,-79.716082307,70002
10157,43.7275639529,-79.7140200677,70003
10157,43.7281313015,-79.7133896031,70004
10157,43.7286790386,-79.7127769294,70005
10157,43.7286790386,-79.7127769294,80001
10157,43.7300039176,-79.7112958155,80002
10157,43.7314754675,-79.7096488258,80003
10157,43.7324490883,-79.7085600526,80004
10157,43.7332421972,-79.7076725603,80005
10157,43.7340681974,-79.706748326,80006
10157,43.7346512426,-79.7060764074,80007
10157,43.7346512426,-79.7060764074,90001
10157,43.7362821382,-79.7041959938,90002
10157,43.7362821382,-79.7041959938,100001
10157,43.73848713,-79.7016535996,100002
10157,43.73848713,-79.7016535996,110001
10157,43.7387946356,-79.7012992398,110002
10157,43.740342793,-79.6995134956,110003
10157,43.7404920982,-79.6993413689,110004
10157,43.7404920982,-79.6993413689,120001
10157,43.7435545663,-79.6958100604,120002
10157,43.744019212,-79.69526221,120003
10157,43.744019212,-79.69526221,130001
10157,43.746157567,-79.69273675,130002
10157,43.7466150527,-79.6921939754,130003
10157,43.7466150527,-79.6921939754,140001
10157,43.7484432251,-79.6900278006,140002
10157,43.7499462458,-79.6882474273,140003
10157,43.7499462458,-79.6882474273,150001
10157,43.7504863254,-79.6876071388,150002
10157,43.7531271567,-79.6844763863,150003
10157,43.7537009906,-79.6837980251,150004
10157,43.7537009906,-79.6837980251,160001
10157,43.7574734696,-79.6793402173,160002
10157,43.7590692583,-79.677343592,160003
10157,43.7602888053,-79.6755154161,160004
10157,43.7604895253,-79.6751991741,160005
10157,43.7611233285,-79.6741068726,160006
10157,43.7611479851,-79.6740591207,160007
10157,43.7616761366,-79.673018823,160008
10157,43.7620083818,-79.6733295109,160009
10157,43.7623244235,-79.6736405602,160010
10157,43.7625402166,-79.673925254,160011
10157,43.7630307548,-79.6733677888,160012
10157,43.7630307548,-79.6733677888,170001
10157,43.7646321421,-79.6715520784,170002
10157,43.7646321421,-79.6715520784,180001
10157,43.7648551906,-79.6712986668,180002
10157,43.7654718743,-79.6705954899,180003
10157,43.7669220568,-79.6689432558,180004
10157,43.7671250616,-79.6687474206,180005
10157,43.7672374234,-79.6686542313,180006
10157,43.7672722107,-79.6686261263,180007
10157,43.7672722107,-79.6686261263,190001
10157,43.7676209541,-79.6683425699,190002
10157,43.7701048467,-79.6655428068,190003
10157,43.7701048467,-79.6655428068,200001
10157,43.7703732225,-79.6652398841,200002
10157,43.7716644056,-79.6637797862,200003
10157,43.7716644056,-79.6637797862,210001
10157,43.772170034,-79.6632081476,210002
10157,43.7727768797,-79.6625149597,210003
10157,43.7727768797,-79.6625149597,220001
10157,43.7741326882,-79.6609638365,220002
10157,43.7741326882,-79.6609638365,230001
10157,43.7743592396,-79.6607040535,230002
10157,43.7767900301,-79.6579222376,230003
10157,43.7767900301,-79.6579222376,240001
10157,43.77697038,-79.6577156554,240002
10157,43.7774865443,-79.657123796,240003
10157,43.7776779811,-79.6568647699,240004
10157,43.7778515314,-79.6566160837,240005
10157,43.7780198062,-79.6563016539,240006
10157,43.778194045,-79.6559585078,240007
