stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
00000020,1001,"Kennedy Rd S n/of First Gulf Blvd",,  43.673256, -79.718468,,,0,,,1
00000030,1002,"Kennedy Rd S at Steeles Ave E",,  43.675159, -79.721710,,,0,,,1
00000055,1005,"Rutherford Rd S n/of Steeles Ave E",,  43.681385, -79.718147,,,0,,,1
00000060,1006,"Rutherford Rd S/of Bramsteele Rd",,  43.681969, -79.718979,,,0,,,1
00000070,1008,"Rutherford Rd S n/of Bramsteele Rd",,  43.683807, -79.721458,,,0,,,1
00000080,1009,"Rutherford Rd S at Glidden Rd",,  43.686333, -79.725067,,,0,,,1
00000090,1010,"Rutherford Rd S at Selby Rd",,  43.689014, -79.728958,,,0,,,1
00000100,1011,"Rutherford Rd S opp Stafford Rd",,  43.690235, -79.730621,,,0,,,1
00000110,1012,"Rutherford Rd S at Clarence St",,  43.691460, -79.731880,,,0,,,1
00000120,1013,"Orenda Rd e/of Rutherford Rd S",,  43.695114, -79.732758,,,0,,,0
00000130,1014,"Orenda Rd btwn Rutherford Rd S & Heart Lake Rd",,  43.695702, -79.729797,,,0,,,0
00000140,1015,"Orenda Rd opp Heart Lake Rd",,  43.696758, -79.727829,,,0,,,0
00000150,1016,"Orenda Rd opp Tilbury Crt",,  43.697323, -79.725029,,,0,,,0
00000160,1017,"Orenda Rd at 237 Orenda Rd",,  43.697067, -79.722672,,,0,,,0
00000170,1018,"Orenda Rd at Titan Rd",,  43.698078, -79.720261,,,0,,,0
00000180,1019,"West Dr n/of Orenda Rd",,  43.699875, -79.718369,,,0,,,1
00000190,1020,"West Dr s/of Clark Blvd ( 55 West Dr )",,  43.702724, -79.723129,,,0,,,1
00000200,1021,"Clark Blvd e/of West Dr",,  43.704700, -79.726936,,,0,,,1
00000210,1022,"Clark Blvd at 185 Clark Blvd",,  43.706436, -79.725029,,,0,,,1
00000220,1023,"Clark Blvd at Terese Rd",,  43.709229, -79.724075,,,0,,,1
00000222,1024,"Queen St E bwtn Torbram Rd & Gateway Blvd",,  43.736172, -79.704010,,,0,,,1
00000230,1025,"Clark Blvd at Braemar Dr",,  43.711452, -79.721512,,,0,,,1
00000235,3615,"Clark Blvd at Briar Path",,  43.713219, -79.720047,,,0,,,1
00000270,1028,"Clark Blvd at Lisa St",,  43.709747, -79.724022,,,0,,,1
00000280,1029,"Clark Blvd opp 185 Clark Blvd",,  43.705849, -79.726028,,,0,,,1
00000290,1030,"Clark Blvd at West Dr",,  43.704773, -79.727211,,,0,,,1
00000300,1031,"West Dr s/of Clark Blvd",,  43.703896, -79.726875,,,0,,,0
00000308,3667,"West Dr at 60 West Dr",,  43.703243, -79.724487,,,0,,,1
00000310,1032,"West Dr at Norpak Whse",,  43.701523, -79.721489,,,0,,,0
00000320,1033,"West Dr s/of Orenda Rd",,  43.699127, -79.717850,,,0,,,1
00000330,1034,"Glidden Rd w/of West Dr",,  43.694832, -79.713753,,,0,,,1
00000340,1035,"Glidden Rd at Blair Dr",,  43.693626, -79.715446,,,0,,,1
00000350,1036,"Glidden Rd at Heart Lake Rd",,  43.691647, -79.718269,,,0,,,1
00000360,1037,"Glidden Rd w/of Heart Lake Rd",,  43.689774, -79.720894,,,0,,,0
00000365,4223,"Hale Rd s/of Glidden Rd",,  43.687313, -79.722977,,,0,,,0
00000370,1038,"Glidden Rd at Hale Rd",,  43.688499, -79.722687,,,0,,,0
00000371,3760,"Hale Rd btwn Glidden Rd & Bramsteele Ave",,  43.686028, -79.721237,,,0,,,0
00000372,3761,"Hale Rd n/of Bramsteele Ave",,  43.684193, -79.718178,,,0,,,0
00000373,3762,"Bramsteele Ave e/of Rutherford Rd",,  43.683235, -79.718491,,,0,,,1
00000410,1043,"Rutherford Rd S at Steeles Ave E",,  43.680935, -79.717995,,,0,,,1
00000420,1044,"First Gulf Blvd n/of Biscayne Cres (N)",,  43.679436, -79.715874,,,0,,,0
00000430,1045,"First Gulf Blvd at Biscayne Cres S",,  43.677124, -79.713402,,,0,,,0
00000440,1046,"First Gulf Blvd btwn Biscayne Cres (S) and Kennedy",,  43.674484, -79.715881,,,0,,,0
00000460,1047,"Hereford St s/of Steeles Ave",,  43.622219, -79.780922,,,0,,,0
00000461,3695,"Heritage - Zum Steeles Station Stop EB",,  43.617924, -79.785973,,,0,,,1
00000466,3692,"Heritage - Zum Steeles Station Stop WB",,  43.617184, -79.787369,,,0,,,1
00000468,3693,"Winston Churchill - Zum Steeles Station Stop WB",,  43.606796, -79.796936,,,0,,,1
00000469,3694,"Winston Churchill - Zum Steeles Station Stop EB",,  43.608097, -79.796936,,,0,,,1
00000470,1048,"Mississauga Road - Zum Steeles Station Stop EB",,  43.627819, -79.775185,,,0,,,0
00000475,6196,"Argentia - Zum Steeles Stop WB",,  43.596035, -79.785957,,,0,,,1
00000477,3712,"Argentia - Zum Steeles Stop EB",,  43.595032, -79.786301,,,0,,,1
00000500,1051,"Steeles Ave W opp Creditview Rd",,  43.637100, -79.764923,,,0,,,0
00000510,1052,"Steeles Ave W at Churchville Rd",,  43.639748, -79.762016,,,0,,,0
00000520,1053,"Steeles Ave W at Clementine Dr",,  43.643684, -79.757660,,,0,,,0
00000530,1054,"Steeles Ave W btwn Mavis Rd & Windmill Blvd",,  43.649578, -79.751152,,,0,,,1
00000535,3897,"Steeles Ave btwn Clementine Dr and Mavis Rd",,  43.645283, -79.755836,,,0,,,1
00000540,1055,"Mavis - Zum Steeles Station Stop EB",,  43.647339, -79.753532,,,0,,,1
00000550,1056,"Steeles Ave W at Windmill Blvd",,  43.653267, -79.747025,,,0,,,1
00000560,1057,"Steeles Ave W at McLaughlin Rd S",,  43.656006, -79.743874,,,0,,,1
00000600,1059,"Steeles Ave E e/of Hurontario St",,  43.666519, -79.732285,,,0,,,1
00000610,1060,"Steeles Ave E btwn Hurontario St & Hartford Tr",,  43.670456, -79.728065,,,0,,,1
00000620,1061,"Steeles Ave E at Hartford Trail",,  43.673000, -79.725319,,,0,,,1
00000670,1064,"Steeles Ave E btwn Tomken Rd & Dixie Rd",,  43.692356, -79.704086,,,0,,,1
00000680,1065,"Steeles Ave w/of at Dixie Rd",,  43.694267, -79.701942,,,0,,,1
00000700,1067,"Steeles Ave E at Advance Blvd",,  43.698715, -79.696487,,,0,,,1
00000710,1068,"Steeles Ave at Bramalea GO Station",,  43.702145, -79.693146,,,0,,,1
00000730,1070,"Steeles Ave E at Melanie Dr (W)",,  43.710072, -79.684311,,,0,,,1
00000740,1071,"Steeles Ave E at Melanie Dr (E)",,  43.712017, -79.682114,,,0,,,1
00000760,1073,"Steeles Ave E opp Pearson Convention Centre",,  43.721794, -79.671021,,,0,,,1
00000780,1075,"Steeles Ave E opp Parkhurst Sq",,  43.726460, -79.665665,,,0,,,0
00000790,1076,"Steeles Ave E at 3389 Steeles Ave E (Bombay Whse)",,  43.730907, -79.660500,,,0,,,0
00000800,1077,"Steeles Ave E at Goreway Dr",,  43.732727, -79.658417,,,0,,,1
00000810,1078,"Goreway Dr s/of Steeles Ave E",,  43.732258, -79.657242,,,0,,,0
00000820,1081,"Goreway Dr at Kenview Blvd",,  43.730598, -79.654915,,,0,,,0
00000830,1082,"Kenview Blvd e/of Goreway Dr",,  43.730827, -79.653572,,,0,,,0
00000840,1083,"Kenview Blvd at 5 Kenview Blvd",,  43.732227, -79.652077,,,0,,,0
00000850,1084,"Kenview Blvd at 11 Kenview Blvd",,  43.734577, -79.651321,,,0,,,0
00000900,1085,"Kenview Blvd e/of Castleview Dr (19 Kenview Blvd)",,  43.736900, -79.650597,,,0,,,0
00000910,1086,"Kenview Blvd at Parkshore Dr",,  43.738430, -79.645309,,,0,,,1
00000920,1087,"Finch Ave n/of Kenview Blvd",,  43.740513, -79.644081,,,0,,,0
00000930,1088,"Finch Ave s/of Steeles Ave",,  43.742649, -79.646980,,,0,,,1
00000940,1090,"Albion Rd s/of Steeles Ave",,  43.749302, -79.638863,,,0,,,0
00000941,3724,"Steeles Ave w/of Hwy 50",,  43.749512, -79.639534,,,0,,,0
00000942,8075,"Steeles Ave w/of Alcide St",,  43.751106, -79.634972,,,0,,,0
00000943,8076,"Steeles Ave w/of Signal Hill Ave",,  43.752865, -79.625320,,,0,,,0
00000944,8077,"Signal Hill Ave n/of Steinway Blvd",,  43.750763, -79.624100,,,0,,,0
00000945,8078,"Steinway Blvd n/of Albion Rd",,  43.748726, -79.628426,,,0,,,0
00000946,8086,"Steinway Blvd w/of Signal Hill Ave",,  43.750248, -79.625534,,,0,,,0
00000950,8000,"Albion Rd w/of Claireport Cres (W)",,  43.747398, -79.635696,,,0,,,0
00000960,8001,"Albion Rd w/of Claireport Cres (E)",,  43.747578, -79.632698,,,0,,,0
00000970,8002,"Albion Rd at Steinway Blvd",,  43.748005, -79.629143,,,0,,,0
00000980,8003,"Humberline Dr n/of Claireville Dr (N)",,  43.746025, -79.622139,,,0,,,1
00001090,6000,"Longo Circle - Zum Steeles Stop",,  43.733379, -79.633301,,,0,,,1
00001100,6001,"Finch Ave n/of Longo Circle",,  43.735844, -79.637100,,,0,,,1
00001110,1099,"Kenview Blvd w/of Finch Ave",,  43.739552, -79.644295,,,0,,,1
00001115,3670,"Kenview Blvd w/of Parkshore Dr",,  43.738495, -79.645546,,,0,,,1
00001120,1100,"Kenview Blvd at 26 Kenview Blvd",,  43.738125, -79.648888,,,0,,,1
00001130,1101,"Kenview Blvd at 14 Kenview Blvd",,  43.735588, -79.651222,,,0,,,1
00001140,1102,"Kenview Blvd at Paget Rd",,  43.734283, -79.651627,,,0,,,1
00001150,1103,"Kenview Blvd at Goreway Dr",,  43.730640, -79.654160,,,0,,,1
00001160,1104,"Goreway Dr btwn Kenview Blvd and Steeles Ave E",,  43.731449, -79.655571,,,0,,,1
00001170,1105,"Goreway Dr at Steeles Ave E",,  43.732861, -79.657417,,,0,,,1
00001180,1106,"Steeles Ave E at Parkhurst Sq",,  43.727177, -79.665413,,,0,,,1
00001230,1111,"Steeles Ave E w/of Melanie Dr (E)",,  43.711750, -79.682953,,,0,,,1
00001235,1112,"Steeles Ave E w/of Melanie Dr (W)",,  43.710007, -79.684929,,,0,,,1
00001237,3665,"Steeles Ave w/of Melanie Dr",,  43.707935, -79.687286,,,0,,,1
00001250,1114,"Steeles Ave E at Bramalea GO Station",,  43.702911, -79.692909,,,0,,,1
00001260,1115,"Steeles Ave E at Advance Blvd",,  43.698799, -79.697029,,,0,,,1
00001280,1117,"Steeles Ave E btwn Dixie Rd & West Dr",,  43.692760, -79.704132,,,0,,,1
00001300,1119,"Steeles Ave btwn Hwy 410 and West Drive",,  43.688606, -79.708687,,,0,,,0
00001315,1121,"Steeles Ave E e/of Resolution Dr",,  43.678406, -79.719986,,,0,,,1
00001320,1122,"Steeles Ave e/of Kennedy Rd",,  43.676125, -79.722481,,,0,,,0
00001340,1124,"Steeles Ave E at Orchard Dr",,  43.673527, -79.725250,,,0,,,0
00001345,1125,"Fletchers Creek Blvd at Gold Hill Rd",,  43.689388, -79.801254,,,0,,,1
00001350,1126,"Steeles Ave E at 152 Steeles Ave",,  43.670918, -79.728096,,,0,,,1
00001360,1127,"Steeles Ave E at Main St S",,  43.667065, -79.732368,,,0,,,0
00001430,1130,"Steeles Ave W at Tait Blvd",,  43.653912, -79.746826,,,0,,,1
00001440,1131,"Steeles Ave W at Beaconsfield walkway",,  43.649109, -79.752182,,,0,,,1
00001450,1132,"Steeles Ave W at Chinguacousy Rd",,  43.647358, -79.754150,,,0,,,1
00001460,1133,"Steeles Ave W w/of James Potter Dr",,  43.643963, -79.757790,,,0,,,0
00001465,1134,"Steeles Ave W at Polonia Ave",,  43.642082, -79.759987,,,0,,,0
00001470,1135,"Steeles Ave at Churchville Rd",,  43.640358, -79.761765,,,0,,,1
00001480,1136,"Steeles Ave W e/of Creditview Rd",,  43.637348, -79.765152,,,0,,,0
00001490,1137,"Steeles Ave W e/of Financial Dr",,  43.633747, -79.769173,,,0,,,0
00001500,1138,"Financial - Zum Steeles Station Stop WB",,  43.631767, -79.771347,,,0,,,1
00001508,3690,"Mississauga Road - Zum Steeles Station Stop WB",,  43.626831, -79.776878,,,0,,,1
00001510,1139,"Mississauga Rd s/of Steeles Ave",,  43.626789, -79.775536,,,0,,,0
00001520,1140,"Mississauga Rd n/of Edgeware Rd",,  43.623436, -79.771049,,,0,,,0
00001530,1141,"Hereford St w/of Mississauga Rd",,  43.620548, -79.768578,,,0,,,1
00001540,1142,"Hereford St s/of Ironbridge Rd",,  43.618515, -79.767464,,,0,,,1
00001550,1143,"Hereford St w/of President's Choice Cir (Loblaws)",,  43.617119, -79.768242,,,0,,,1
00001560,1144,"Hereford St btwn President's Choice Cir & Edgeware",,  43.615559, -79.771767,,,0,,,1
00001570,1145,"Hereford St n/of Edgeware Rd",,  43.619019, -79.776527,,,0,,,1
00001575,3622,"Hereford St btwn Edgeware Rd & Steeles Ave",,  43.620510, -79.778549,,,0,,,0
00001640,1148,"Kensington Rd e/of Central Park Dr",,  43.720219, -79.719841,,,0,,,0
00001650,1149,"Kensington Rd at Kingscross Rd",,  43.721161, -79.718788,,,0,,,1
00001660,1150,"Kensington Rd opp Bramalea Medical Centre",,  43.722038, -79.717278,,,0,,,0
00001670,1151,"Kensington Rd at Bramalea Rd",,  43.722824, -79.715935,,,0,,,0
00001680,1152,"Bramalea Rd at Knightsbridge Rd - Rte 12 ONLY",,  43.721790, -79.714058,,,0,,,1
00001720,1153,"Finchgate Blvd at Feston Place",,  43.726265, -79.709160,,,0,,,1
00001730,1154,"Finchgate Blvd at Queen St E",,  43.727543, -79.712250,,,0,,,1
00001740,1155,"Glenvale Blvd s/of Gatwick Lane",,  43.729168, -79.714539,,,0,,,0
00001750,1156,"Glenvale Blvd n/of Greenmount Rd",,  43.730591, -79.715683,,,0,,,0
